,provincia,energia entregada,mes,anio,fecha
265,Distrito Nacional,87.29716954000001,10,2019,2019-10-01
266,Hato Mayor,6.774386084,10,2019,2019-10-01
267,La Altagracia,30.579927129999998,10,2019,2019-10-01
268,La Romana,30.012233010000003,10,2019,2019-10-01
269,Monte Plata,10.1357911,10,2019,2019-10-01
270,San Pedro de Macorís,50.35444576,10,2019,2019-10-01
271,Santo Domingo,239.77549380000002,10,2019,2019-10-01
272,El Seibo,5.009851876,11,2019,2019-11-01
273,Distrito Nacional,78.94678520000001,11,2019,2019-11-01
274,Hato Mayor,6.315087921,11,2019,2019-11-01
275,La Altagracia,28.18016281,11,2019,2019-11-01
276,La Romana,26.5039585,11,2019,2019-11-01
277,Monte Plata,8.889971054,11,2019,2019-11-01
278,San Pedro de Macorís,44.78056082,11,2019,2019-11-01
279,Santo Domingo,220.065782,11,2019,2019-11-01
280,El Seibo,5.296248241000001,12,2019,2019-12-01
281,Distrito Nacional,78.75226122,12,2019,2019-12-01
282,Hato Mayor,6.655031536,12,2019,2019-12-01
283,La Altagracia,28.112089949999998,12,2019,2019-12-01
284,La Romana,27.55837282,12,2019,2019-12-01
285,Monte Plata,9.803170424000001,12,2019,2019-12-01
286,San Pedro de Macorís,45.45382076,12,2019,2019-12-01
287,Santo Domingo,222.3997248,12,2019,2019-12-01
288,El Seibo,4.956713367,1,2020,2020-01-01
289,Distrito Nacional,74.06208545,1,2020,2020-01-01
290,Hato Mayor,6.458741638,1,2020,2020-01-01
291,La Altagracia,26.49844327,1,2020,2020-01-01
292,La Romana,26.79618818,1,2020,2020-01-01
293,Monte Plata,9.969951635,1,2020,2020-01-01
294,San Pedro de Macorís,43.336484950000006,1,2020,2020-01-01
295,Santo Domingo,216.0953745,1,2020,2020-01-01
296,El Seibo,4.750143174,2,2020,2020-02-01
297,Distrito Nacional,72.22342404000001,2,2020,2020-02-01
298,Hato Mayor,6.115326756,2,2020,2020-02-01
299,La Altagracia,25.55704638,2,2020,2020-02-01
300,La Romana,25.978465579999998,2,2020,2020-02-01
301,Monte Plata,9.870280721999999,2,2020,2020-02-01
302,San Pedro de Macorís,41.71938058,2,2020,2020-02-01
303,Santo Domingo,208.1545153,2,2020,2020-02-01
304,El Seibo,5.0557701349999995,3,2020,2020-03-01
305,Distrito Nacional,70.93594456999999,3,2020,2020-03-01
306,Hato Mayor,6.398354482,3,2020,2020-03-01
307,La Altagracia,27.01839803,3,2020,2020-03-01
308,La Romana,27.41440732,3,2020,2020-03-01
309,Monte Plata,12.90100073,3,2020,2020-03-01
310,San Pedro de Macorís,41.97250976,3,2020,2020-03-01
311,Santo Domingo,216.8711518,3,2020,2020-03-01
312,El Seibo,5.513640479,4,2020,2020-04-01
313,Distrito Nacional,68.28115810999999,4,2020,2020-04-01
314,Hato Mayor,6.8764445499999995,4,2020,2020-04-01
315,La Altagracia,29.37104366,4,2020,2020-04-01
316,La Romana,29.06851455,4,2020,2020-04-01
317,Monte Plata,13.61947332,4,2020,2020-04-01
318,San Pedro de Macorís,38.29085792,4,2020,2020-04-01
319,Santo Domingo,231.415534,4,2020,2020-04-01
320,El Seibo,5.8500525880000005,5,2020,2020-05-01
321,Distrito Nacional,77.75337762999999,5,2020,2020-05-01
322,Hato Mayor,7.22835572,5,2020,2020-05-01
323,La Altagracia,31.967050190000002,5,2020,2020-05-01
324,La Romana,32.18422143,5,2020,2020-05-01
325,Monte Plata,14.605096609999999,5,2020,2020-05-01
326,San Pedro de Macorís,44.793901240000004,5,2020,2020-05-01
327,Santo Domingo,255.3822261,5,2020,2020-05-01
328,El Seibo,5.920935404,6,2020,2020-06-01
329,Distrito Nacional,84.89464918,6,2020,2020-06-01
330,Hato Mayor,7.522603996,6,2020,2020-06-01
331,La Altagracia,33.22588183,6,2020,2020-06-01
332,La Romana,32.91798969,6,2020,2020-06-01
333,Monte Plata,14.922670609999999,6,2020,2020-06-01
334,San Pedro de Macorís,50.9966597,6,2020,2020-06-01
335,Santo Domingo,263.6451363,6,2020,2020-06-01
336,El Seibo,6.271518274,7,2020,2020-07-01
337,Distrito Nacional,87.82595286,7,2020,2020-07-01
338,Hato Mayor,7.749009424,7,2020,2020-07-01
339,La Altagracia,34.28028637,7,2020,2020-07-01
340,La Romana,34.777391,7,2020,2020-07-01
341,Monte Plata,15.02051623,7,2020,2020-07-01
342,San Pedro de Macorís,53.39899938,7,2020,2020-07-01
343,Santo Domingo,271.9458273,7,2020,2020-07-01
344,El Seibo,6.271518274,8,2020,2020-08-01
345,Distrito Nacional,87.82595286,8,2020,2020-08-01
346,Hato Mayor,7.749009424,8,2020,2020-08-01
347,La Altagracia,34.28028637,8,2020,2020-08-01
348,La Romana,34.777391,8,2020,2020-08-01
349,Monte Plata,15.02051623,8,2020,2020-08-01
350,San Pedro de Macorís,53.39899938,8,2020,2020-08-01
351,Santo Domingo,271.9458273,8,2020,2020-08-01
352,El Seibo,6.1906052460000005,9,2020,2020-09-01
353,Distrito Nacional,83.82084603,9,2020,2020-09-01
354,Hato Mayor,7.532005519,9,2020,2020-09-01
355,La Altagracia,32.943272289999996,9,2020,2020-09-01
356,La Romana,33.09456653,9,2020,2020-09-01
357,Monte Plata,14.58372142,9,2020,2020-09-01
358,San Pedro de Macorís,50.680792409999995,9,2020,2020-09-01
359,Santo Domingo,259.679108,9,2020,2020-09-01
360,El Seibo,6.27493191,10,2020,2020-10-01
361,Distrito Nacional,86.40239014,10,2020,2020-10-01
362,Hato Mayor,7.809365679,10,2020,2020-10-01
363,La Altagracia,33.76459223,10,2020,2020-10-01
364,La Romana,35.09618313,10,2020,2020-10-01
365,Monte Plata,14.959630460000001,10,2020,2020-10-01
366,San Pedro de Macorís,51.2329016,10,2020,2020-10-01
367,Santo Domingo,266.6948984,10,2020,2020-10-01
368,El Seibo,5.498857134,11,2020,2020-11-01
369,Distrito Nacional,75.37839016,11,2020,2020-11-01
370,Hato Mayor,6.929664637,11,2020,2020-11-01
371,La Altagracia,29.40995514,11,2020,2020-11-01
372,La Romana,30.143972690000002,11,2020,2020-11-01
373,Monte Plata,13.580979769999999,11,2020,2020-11-01
374,San Pedro de Macorís,43.587701,11,2020,2020-11-01
375,Santo Domingo,234.1112435,11,2020,2020-11-01
376,El Seibo,5.8297508030000005,12,2020,2020-12-01
377,Distrito Nacional,77.08156177,12,2020,2020-12-01
378,Hato Mayor,7.140747104,12,2020,2020-12-01
379,La Altagracia,29.781810420000003,12,2020,2020-12-01
380,La Romana,31.489005010000003,12,2020,2020-12-01
381,Monte Plata,14.482912630000001,12,2020,2020-12-01
382,San Pedro de Macorís,47.62691348,12,2020,2020-12-01
383,Santo Domingo,241.79095519999998,12,2020,2020-12-01
384,El Seibo,5.634559611999999,1,2021,2021-01-01
385,Distrito Nacional,72.00498431,1,2021,2021-01-01
386,Hato Mayor,6.862823358,1,2021,2021-01-01
